,2020,2021,2022,2023
Total Debt,8068,7951,7313,7210
ST Debt,122,749,107,1249
LT Debt,7946,7202,7206,5961
Total Debt/EBITDA,2.93,2.59,2.49,2.27
Net Debt/EBITDA,1.20,0.67,0.68,0.93
Total Debt/EBIT,3.23,2.88,2.84,2.61
Net Debt/EBIT,1.32,0.75,0.78,1.06
EBITDA to Interest Expense,7.47,7.76,7.92,14.56
EBITDA-CapEx/Interest Expense,6.49,6.53,7.09,12.93
EBIT to Interest Expense,6.77,7.00,6.94,12.68
Interest Expense,369,395,371,218
Common Equity/Total Assets,3.13,8.67,11.12,10.40
Long-Term Debt/Equity (%),78.59,64.74,63.35,57.07
Long-Term Debt/Capital (%),90.66,72.45,73.41,62.41
Long-Term Debt/Total Assets (%),36.53,31.41,32.48,27.26
Total Debt/Equity (%),79.79,71.47,64.29,69.03
Total Debt/Capital (%),92.05,79.98,74.50,75.49
Total Debt/Total Assets (%),37.09,34.68,32.96,32.97
Net Debt to Equity,32.65,18.56,17.64,28.13
Net Debt/Capital (%),80.12,50.92,43.46,55.65
EBITDA,2755,3065,2937,3175
EBITDA-CapEx,2396,2581,2630,2818
Operating Income (Loss),2497,2765,2574,2764
